Wall time,Step,Reward
1585272450,0,-0.654518127
1585272689,1,-0.613511443
1585272927,2,-0.612060606
1585273211,3,-0.573897839
1585273594,4,-0.574157774
1585273980,5,-0.595595241
1585274366,6,-0.568336368
1585274750,7,-0.582817197
1585275134,8,-0.592319608
1585275520,9,-0.569481075
1585275907,10,-0.56722194
1585276291,11,-0.577411056
1585276679,12,-0.549808502
1585277063,13,-0.549798608
1585277448,14,-0.549492419
1585277833,15,-0.544272721
1585278220,16,-0.544233859
1585278606,17,-0.551995337
1585278992,18,-0.54276371
1585279376,19,-0.540486872
1585279760,20,-0.547506154
1585280143,21,-0.550109625
1585280529,22,-0.536541939
1585280914,23,-0.543116868
1585281298,24,-0.529612303
1585281686,25,-0.525938749
1585282071,26,-0.540375412
1585282456,27,-0.522753
1585282842,28,-0.526152074
1585283227,29,-0.528535724
1585283613,30,-0.543725371
1585283999,31,-0.547562361
1585284387,32,-0.531155825
1585284770,33,-0.52348882
1585285158,34,-0.520662725
1585285543,35,-0.521431506
1585285925,36,-0.510315776
1585286307,37,-0.52467066
1585286691,38,-0.520356119
1585287077,39,-0.511438251
1585287460,40,-0.512253702
1585287843,41,-0.503822863
1585288229,42,-0.506157935
1585288612,43,-0.515168786
1585288996,44,-0.507753432
1585289379,45,-0.509501517
1585289767,46,-0.517646611
1585290150,47,-0.51530391
1585290535,48,-0.506306291
1585290921,49,-0.505064189
1585291308,50,-0.513081372
1585291691,51,-0.508762956
1585292077,52,-0.504072309
1585292464,53,-0.50313735
1585292843,54,-0.503554761
1585293227,55,-0.506073952
1585293611,56,-0.497212052
1585293996,57,-0.50082463
1585294382,58,-0.492640674
1585294769,59,-0.494217932
1585295154,60,-0.493625253
1585295540,61,-0.496347189
1585295923,62,-0.487248689
1585296309,63,-0.487858564
1585296693,64,-0.498160422
1585297082,65,-0.516760111
1585297466,66,-0.48721981
1585297853,67,-0.495452523
1585298237,68,-0.50366354
1585298624,69,-0.491592526
1585299010,70,-0.492247701
1585299392,71,-0.487412572
1585299775,72,-0.491257459
1585300155,73,-0.473208606
1585300542,74,-0.484391659
1585300927,75,-0.473396301
1585301314,76,-0.482343286
1585301700,77,-0.477588594
1585302084,78,-0.479497194
1585302469,79,-0.480116248
1585302856,80,-0.474035531
1585303239,81,-0.485532731
1585303625,82,-0.474032402
1585304008,83,-0.485711068
1585304394,84,-0.480820447
1585304780,85,-0.488523543
1585305163,86,-0.48714
1585305547,87,-0.481512457
1585305932,88,-0.473799348
1585306316,89,-0.484130323
1585306703,90,-0.483504355
1585307088,91,-0.480406523
1585307470,92,-0.475547969
1585307855,93,-0.485987276
1585308241,94,-0.483732522
1585308625,95,-0.481242746
1585309006,96,-0.478537798
1585309393,97,-0.479815602
1585309778,98,-0.484410554
1585310164,99,-0.475992203
1585310550,100,-0.471031398
1585310934,101,-0.480966836
1585311318,102,-0.470125884
1585311701,103,-0.477171332
1585312088,104,-0.485937953
1585312472,105,-0.480711669
1585312857,106,-0.484939039
1585313242,107,-0.491871715
1585313627,108,-0.481769025
1585314012,109,-0.495501965
1585314396,110,-0.486829579
1585314785,111,-0.485115498
1585315172,112,-0.481383443
1585315555,113,-0.476392984
1585315940,114,-0.477248371
1585316326,115,-0.48451215
1585316711,116,-0.476484776
1585317095,117,-0.477737427
1585317478,118,-0.486740261
1585317862,119,-0.482992053
1585318248,120,-0.473447412
1585318638,121,-0.480243176
1585319021,122,-0.488300413
1585319408,123,-0.48721689
1585319794,124,-0.488256484
1585320181,125,-0.477953345
1585320564,126,-0.481880814
1585320948,127,-0.467339694
1585321332,128,-0.475502193
1585321718,129,-0.46735698
1585322102,130,-0.463089794
1585322489,131,-0.477849811
1585322874,132,-0.485744476
1585323261,133,-0.477892041
1585323645,134,-0.481729716
1585324029,135,-0.479156613
1585324415,136,-0.474784195
1585324795,137,-0.485367954
1585325180,138,-0.474765211
1585325564,139,-0.475694656
1585325948,140,-0.485570401
1585326335,141,-0.474257916
1585326719,142,-0.489664793
1585327106,143,-0.487276614
1585327489,144,-0.463507086
1585327871,145,-0.47460708
1585328254,146,-0.483875096
1585328641,147,-0.477863759
1585329023,148,-0.462828517
1585329408,149,-0.469632089
1585329796,150,-0.472205251
1585330184,151,-0.478707284
1585330570,152,-0.483360231
1585330957,153,-0.477513194
1585331342,154,-0.474918753
1585331730,155,-0.475856721
1585332116,156,-0.482816726
1585332502,157,-0.462039709
1585332887,158,-0.470563918
1585333273,159,-0.468993157
1585333657,160,-0.47713393
1585334042,161,-0.492547005
1585334426,162,-0.474334538
1585334811,163,-0.484079331
1585335198,164,-0.47579819
1585335580,165,-0.488751471
1585335967,166,-0.479557157
1585336352,167,-0.488480002
1585336739,168,-0.483186394
1585337123,169,-0.476489633
1585337510,170,-0.481881171
1585337895,171,-0.475065857
1585338280,172,-0.481189847
1585338667,173,-0.482188463
1585339048,174,-0.475119203
1585339431,175,-0.47746408
1585339817,176,-0.480214477
1585340200,177,-0.48404628
1585340583,178,-0.491191298
1585340969,179,-0.487644225
1585341355,180,-0.475750566
1585341742,181,-0.48798275
1585342127,182,-0.475087225
1585342513,183,-0.473988444
1585342900,184,-0.480067343
1585343286,185,-0.473358452
1585343673,186,-0.478605151
1585344057,187,-0.474399447
1585344443,188,-0.473792225
1585344829,189,-0.471433759
1585345216,190,-0.477693975
1585345602,191,-0.474215299
1585345985,192,-0.479679435
1585346372,193,-0.485465616
1585346756,194,-0.47908929
1585347141,195,-0.486517459
1585347525,196,-0.479866803
1585347909,197,-0.47351861
1585348297,198,-0.486064047
1585348686,199,-0.484076262
